WP, 90, 2013110900,   , CHP6, 0,  19N, 1446E,  20, 1012, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
WP, 90, 2013110906,   , CHP6, 0,  20N, 1440E,  20, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
WP, 90, 2013110912,   , CHP6, 0,  22N, 1432E,  20, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
WP, 90, 2013110918,   , CHP6, 0,  27N, 1419E,  20, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, INVEST,
WP, 32, 2013111000,   , CHP6, 0,  33N, 1407E,  25, 1009, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, THIRTYTWO,
WP, 32, 2013111006,   , CHP6, 0,  37N, 1393E,  30, 1007, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, THIRTYTWO,
WP, 32, 2013111012,   , CHP6, 0,  40N, 1375E,  35, 1005, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111018,   , CHP6, 0,  41N, 1355E,  35, 1006, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111100,   , CHP6, 0,  43N, 1332E,  25, 1010, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111106,   , CHP6, 0,  49N, 1311E,  20, 1012, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111112,   , CHP6, 0,  58N, 1293E,  20, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111118,   , CHP6, 0,  69N, 1280E,  20, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111200,   , CHP6, 0,  77N, 1268E,  20, 1011, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111206,   , CHP6, 0,  83N, 1254E,  20, 1012, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111212,   , CHP6, 0,  89N, 1238E,  25, 1010, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111218,   , CHP6, 0,  96N, 1224E,  25, 1010, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111300,   , CHP6, 0, 102N, 1208E,  30, 1008, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111306,   , CHP6, 0, 110N, 1192E,  30, 1007, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111312,   , CHP6, 0, 114N, 1176E,  30, 1007, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111318,   , CHP6, 0, 117N, 1160E,  35, 1005, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111400,   , CHP6, 0, 118N, 1144E,  35, 1004, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111406,   , CHP6, 0, 119N, 1129E,  35, 1004, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111412,   , CHP6, 0, 120N, 1115E,  40, 1002, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111418,   , CHP6, 0, 121N, 1101E,  35, 1004, TS,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111500,   , CHP6, 0, 124N, 1087E,  30, 1006, TD,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111506,   , CHP6, 0, 126N, 1074E,  20, 1010, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111512,   , CHP6, 0, 125N, 1062E,  15, 1012, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
WP, 32, 2013111518,   , CHP6, 0, 125N, 1049E,  15, 1013, DB,   0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, PODUL,
